Filename,area_f-actin,area_section,area_vimentin,count_edu,count_edu_in_f-actin,count_edu_in_vimentin,count_nuclei,count_nuclei_in_f-actin,count_nuclei_in_vimentin,fraction_edu_in_f-actin,fraction_edu_in_vimentin,fraction_nuclei_in_f-actin,fraction_nuclei_in_vimentin
test.ims,22677.167769,70185.0691575,5727.634001,113,88,28,296,72,33,0.7787610619469026,0.24778761061946902,0.24324324324324326,0.11148648648648649,None
test2.ims,22677.167769,70185.0691575,5727.634001,113,88,28,296,72,33,0.7787610619469026,0.24778761061946902,0.24324324324324326,0.11148648648648649,None
